stateName;stateAbbr;statepop;diabetesprevalence;diabetesIncidence;funding;Footnote;prediabetesselfreport;diabetesactionplan;DirectMedicalCostMillions;MedicareCost_Millions;medicaidCostMillions;DP230020;numdsmesPart;accreddsmesproviders;statemedicadeservices;participantsndpp;ndppproviders;medicardpproviders;statemedicaidcoverndpp;stateImage;uid
Mississippi;MS;2,940,057;346,88;21;1,912,000;2021 Data;207;https://msdh.ms.gov/page/resources/7612.pdf;3,954,000,000;1,685,000,000;687,000,000;1,900,000;12,347;22;Yes;3,663;25;3;No;circle_MS.png;US-MS
Missouri;MO;6,177,957;563,658;31;1,000,000;2022 Data;457;https://health.mo.gov/living/healthcondiseases/chronic/diabetes/pdf/missouri-diabetes-report.pdf;6,962,000,000;2,575,000,000;1,364,000,000;1,000,000;15,685;65;^Yes;20,709;20;5;Yes;circle_MO.png;US-MO
Montana;MT;1,122,867;74,364;6;1,164,532;2020 Data;64;;882,000,000;284,000,000;145,000,000;850;7,725;23;^Yes;5,808;31;5;Yes;circle_MT.png;US-MT
Nebraska;NE;1,967,923;161,508;10;881,555;2022 Data;121;https://chronicdisease.org/resource/resmgr/diabetes_dpp_materials/ne_diab_action_plan.pdf;1,837,000,000;618,000,000;267,000,000;850;7,38;20;No;4,908;26;1;No;circle_NE.png;US-NE
Nevada;NV;3,177,772;250,894;12;1,231,029;2022 Data;299;;2,693,000,000;1,081,000,000;505,000,000;900;3,366;13;^Yes;2,882;8;1;No;circle_NV.png;US-NV
New Hampshire;NH;1,395,231;111,268;5;1,372,995;2022 Data;114;;1,389,000,000;422,000,000;237,000,000;850;11,457;18;No;6,395;7;3;No;circle_NH.png;US-NH
New Jersey;NJ;9,261,699;792,367;56;1,300,000;2020 Data ;692;https://www.nj.gov/health/fhs/chronic/documents/17-Diabetes%20Action%20Plan_2.0.pdf;10,661,000,000;3,764,000,000;2,384,000,000;1,200,000;19,366;44;^Yes;5,804;20;2;Yes;circle_NJ.png;US-NJ
New Mexico;NM;2,113,344;207,611;15;3,382,655;2022 Data;202;https://www.nmhealth.org/publication/view/marketing/5595/#:~:text=The%20New%20Mexico%20Diabetes%20Prevention%20Action%20Plan%20is%20an%20action,%2C%20Referrals%2C%20Education%20and%20Access.;2,245,000,000;666,000,000;717,000,000;2,850,000;5,128;16;^Yes;2,6;9;0;No;circle_NM.png;US-NM
New York;NY;19,677,151;1,779,211;127;2,795,995;2022 Data;1,783,000;;29,991,000,000;8,099,000,000;10,893,000,000;2,250,000;65,976;116;Yes;23,794;89;20;Yes;circle_NY.png;US-NY
North Carolina;NC;10,698,973;1,011,751;54;2,093,000;2021 Data ;719;https://www.ncdhhs.gov/sl-2017-57-section-11e5b-minority-health-diabetes-prevention-program/open;11,614,000,000;4,562,000,000;2,124,000,000;1,250,000;35,223;73;^Yes;23,305;67;7;Yes;circle_NC.png;US-NC
North Dakota;ND;779,261;57,287;3;1,096,670;2022 Data;50;https://ndlegis.gov/sites/default/files/committees/68-2023/25.5108.02000presentation1025.pdf;799,000,000;226,000,000;177,000,000;850;10,62;16;^Yes;2,44;13;3;Yes;circle_ND.png;US-ND
Ohio;OH;11,756,058;1,203,587;81;1,350,000;2022 Data;937;https://odh.ohio.gov/wps/wcm/connect/gov/fc94c68d-86d0-4174-9a8a-58871c1ace9d/2021+DAP_FINAL.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-fc94c68d-86d0-4174-9a8a-58871c1ace9d-oynp5sh;14,957,000,000;5,469,000,000;3,689,000,000;1,250,000;29,211;79;No;28,928;27;8;Yes;circle_OH.png;US-OH
Oklahoma;OK;4,019,800;405,756;26;1,619,325;2020 Data;289;https://oklahoma.gov/content/dam/ok/en/health/health2/aem-documents/health-promotion/center-for-chronic-disease-prevention---health-promotion/2023%20Oklahoma%20Diabetes%20Prevention%20Report.pdf;4,499,000,000;1,698,000,000;627,000,000;1,000,000;7,009;41;No;6,901;25;10;No;circle_OK.png;US-OK
Oregon;OR;4,240,137;354,43;24;2,081,985;2022 Data;357;https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/CHRONICDISEASE/DIABETES/Documents/OregonDiabetesReport.pdf;3,776,000,000;1,115,000,000;1,151,000,000;850;19,928;23;No;14,481;26;8;Yes;circle_OR.png;US-OR
Pennsylvania;PA;12,972,008;1,182,955;91;2,679,816;2022 Data;851;http://jsg.legis.state.pa.us/resources/documents/ftp/publications/2023-09-13%20Diabetes%20Web%209.13.23%20.pdf;16,153,000,000;5,881,000,000;3,920,000,000;2,153,991;56,179;89;^Yes;20,631;77;16;Yes;circle_PA.png;US-PA
Rhode Island;RI;1,093,734;102,499;7;974;2017 Data ;59;https://health.ri.gov/publications/stateplans/2010-2015Diabetes.pdf;1,317,000,000;394,000,000;346,000,000;850;777;7;No;2,818;5;1;Yes;circle_RI.png;US-RI
South Carolina;SC;5,282,634;533,278;33;2,438,920;2022 Data;407;;5,639,000,000;2,262,000,000;817,000,000;2,100,000;15,89;35;^Yes;10,912;34;7;No;circle_SC.png;US-SC
South Dakota;SD;909,824;62,172;4;1,143,532;2021 Data;49;https://doh.sd.gov/media/ppfehegn/diabetes_state-strategic-plan.pdf;982,000,000;270,000,000;122,000,000;850;4,505;13;Yes;1,925;6;1;Yes;circle_SD.png;US-SD
Tennessee;TN;7,051,339;813,418;49;1,648,045;2019 Data ;409;https://www.tn.gov/content/dam/tn/health/program-areas/Diabetes-Legislative-Report-2023.pdf;7,998,000,000;3,211,000,000;1,326,000,000;1,200,000;13,675;42;Yes;13,355;27;4;No;circle_TN.png;US-TN
Texas;TX;30,029,572;3,127,767;230;3,250,000;2021 Data;1,956,000;https://www.dshs.texas.gov/sites/default/files/legislative/2023-Reports/Texas_Diabetes_Council_2023_State_Plan_to_Prevent%20and_Treat_Diabetes_and_Obesity_Report.pdf;26,935,000,000;10,328,000,000;5,306,000,000;3,250,000;48,119;126;^Yes;31,013;68;11;No;circle_TX.png;US-TX
Utah;UT;3,380,800;214,693;14;951,008;2020 Data ;210;https://heal.utah.gov/wp-content/uploads/2021/11/UDP_Strategic_Plan_v2018FINAL.pdf;1,808,000,000;613,000,000;242,000,000;850;9,061;22;Yes;8,654;18;5;Yes;circle_UT.png;US-UT
Vermont;VT;647,064;44,599;3;906,72;2021 Data;41;;680,000,000;211,000,000;156,000,000;850;1,003;6;Yes;2,198;2;0;Yes;circle_VT.png;US-VT
Virginia;VA;8,683,619;870,524;52;4,645,000;2021 Data;704;https://www.vdh.virginia.gov/content/uploads/sites/25/2017/03/DiabetesStrategicPlan2017WEB.pdf;8,675,000,000;2,810,000,000;1,366,000,000;4,600,000;18,584;40;No;16,749;33;4;Yes;circle_VA.png;US-VA
Washington;WA;7,785,786;595,825;41;2,588,477;2021 Data;597;https://doh.wa.gov/sites/default/files/2024-01/140255-DiabetesEpidemicActionReport-20240124.pdf;6,672,000,000;1,916,000,000;2,128,000,000;2,000,000;31,607;46;Yes;26,897;18;4;Yes;circle_WA.png;US-WA
West Virginia;WV;1,775,156;247,721;14;1,269,795;2022 Data;148;https://dhhr.wv.gov/hpcd/data_reports/Documents/2020%20Diabetes%20Action%20Plan.pdf;3,160,000,000;1,129,000,000;711,000,000;850;4,028;22;^Yes;2,893;12;5;No;circle_WV.png;US-WV
Wisconsin;WI;5,892,539;477,705;28;1,437,100;2022 Data;470;https://www.dhs.wisconsin.gov/publications/p03154-2024.pdf;5,722,000,000;1,732,000,000;1,233,000,000;900;55,717;53;No;10,459;38;14;Yes;circle_WI.png;US-WI
Wyoming;WY;581,381;41,99;3;850;2022 Data;38;;489,000,000;151,000,000;69,000,000;850;1,477;12;^Yes;752;12;2;Yes;circle_WY.png;US-WY
